Z daughter, A daughter, element daughter, Z parent, A parent, element parent, metastable, independent thermal FY jeff3.1.1, unc, independent fast FY jeff3.1.1, unc, independent 14MeV FY jeff3.1.1, unc,Extraction date
34,77,Se,92,235,U,1,4.0799E-11,1.4771E-11,4.0407E-11,1.5871E-11,1.4022E-06,5.1347E-07,2021-04-28
34,78,Se,92,235,U,0,4.1484E-09,1.4529E-09,3.9082E-09,1.484E-09,1.6211E-05,6.3179E-06,2021-04-28
34,79,Se,92,235,U,0,1.4913E-07,4.8809E-08,1.4241E-07,5.3326E-08,7.4215E-05,2.7648E-05,2021-04-28
34,79,Se,92,235,U,1,2.2798E-08,7.4615E-09,1.8961E-08,7.1001E-09,6.1826E-06,2.3032E-06,2021-04-28
34,80,Se,92,235,U,0,6.4503E-06,2.0105E-06,4.5837E-06,1.6958E-06,0.00051464,0.0001785,2021-04-28
34,81,Se,92,235,U,0,8.5771E-06,2.8484E-06,7.7914E-06,2.5926E-06,9.4756E-05,3.2548E-05,2021-04-28
34,81,Se,92,235,U,1,5.6107E-05,1.8633E-05,5.8519E-05,1.9472E-05,0.0011374,0.0003907,2021-04-28
34,82,Se,92,235,U,0,0.00055667,0.00016936,0.00061588,0.00018418,0.0039766,0.00096176,2021-04-28
34,83,Se,92,235,U,0,0.001805,0.00040071,0.0017083,0.00044076,0.0048651,0.0010468,2021-04-28
34,83,Se,92,235,U,1,0.00041735,9.2653E-05,0.00034397,8.8744E-05,0.00061116,0.0001315,2021-04-28
34,84,Se,92,235,U,0,0.007133,0.00070476,0.0065524,0.00085425,0.0082873,0.0017481,2021-04-28
34,85,Se,92,235,U,0,0.009583,0.00094717,0.008735,0.0010931,0.0053785,0.0017583,2021-04-28
34,86,Se,92,235,U,0,0.012253,0.0016467,0.010268,0.0017754,0.0048542,0.0017089,2021-04-28
34,87,Se,92,235,U,0,0.0071313,0.0017691,0.0054606,0.0015224,0.0018888,0.00071447,2021-04-28
34,88,Se,92,235,U,0,0.0033929,0.0010921,0.0023539,0.00077053,0.0010816,0.0004201,2021-04-28
34,89,Se,92,235,U,0,0.00068739,0.00024933,0.00040616,0.00014536,0.00020697,7.3901E-05,2021-04-28
34,90,Se,92,235,U,0,0.00010276,3.8819E-05,5.1272E-05,1.8936E-05,5.0759E-05,1.846E-05,2021-04-28
34,91,Se,92,235,U,0,6.8618E-06,2.4788E-06,2.7977E-06,1.0101E-06,4.8754E-06,1.7645E-06,2021-04-28
34,92,Se,92,235,U,0,3.2691E-07,1.1439E-07,1.0424E-07,3.7537E-08,6.1577E-07,2.3534E-07,2021-04-28
34,93,Se,92,235,U,0,6.0408E-09,2.1491E-09,1.5399E-09,5.6348E-10,2.7565E-08,1.0343E-08,2021-04-28
34,94,Se,92,235,U,0,9.0281E-11,3.3555E-11,2.0123E-11,7.1471E-12,1.7176E-09,7.0325E-10,2021-04-28
35,79,Br,92,235,U,0,5.3452E-12,1.7496E-12,3.7011E-12,1.386E-12,1.3933E-07,5.292E-08,2021-04-28
35,79,Br,92,235,U,1,1.7488E-11,5.7241E-12,1.4016E-11,5.249E-12,8.6087E-07,3.2698E-07,2021-04-28
35,80,Br,92,235,U,0,6.0515E-10,1.8878E-10,4.0392E-10,1.4957E-10,1.277E-06,4.8002E-07,2021-04-28
35,80,Br,92,235,U,1,1.8261E-09,5.6967E-10,1.4074E-09,5.2113E-10,7.2252E-06,2.7159E-06,2021-04-28
35,81,Br,92,235,U,0,1.2301E-07,4.1439E-08,1.3348E-07,4.4642E-08,8.7599E-05,3.3654E-05,2021-04-28
35,82,Br,92,235,U,0,1.9988E-06,6.9344E-07,3.1896E-06,9.8971E-07,0.0003037,0.00011142,2021-04-28
35,82,Br,92,235,U,1,8.5338E-07,2.9606E-07,1.1702E-06,3.6309E-07,6.7253E-05,2.4673E-05,2021-04-28
35,83,Br,92,235,U,0,5.1935E-05,1.8188E-05,6.9149E-05,2.3721E-05,0.0021212,0.00065604,2021-04-28
35,84,Br,92,235,U,0,0.0001977,7.169E-05,0.00031991,0.00010782,0.0019807,0.0006089,2021-04-28
35,84,Br,92,235,U,1,0.0001977,7.169E-05,0.00031991,0.00010782,0.0019807,0.0006089,2021-04-28
35,85,Br,92,235,U,0,0.002192,0.00071417,0.0030408,0.00090873,0.010449,0.0021961,2021-04-28
35,86,Br,92,235,U,0,0.0061789,0.0015636,0.0087363,0.0017903,0.011071,0.0024808,2021-04-28
35,87,Br,92,235,U,0,0.014106,0.0021321,0.017252,0.0020259,0.014753,0.0027358,2021-04-28
35,88,Br,92,235,U,0,0.01475,0.0030371,0.020506,0.0032534,0.0098064,0.0028834,2021-04-28
