Incident energy ; 
Incident energy ; 
Incident energy ; NP
79.39999 ; 2.890163
81.5 ; 2.892523
82.39999 ; 2.891277
82.556 ; 2.885833
82.7341 ; 2.874589
82.78131 ; 2.873855
82.89999 ; 2.878869
82.9702 ; 2.884042
83.10001 ; 2.890468
83.5 ; 2.892459
85.097 ; 2.891326
85.18351 ; 2.889825
85.3068 ; 2.881426
85.4086 ; 2.864646
85.51711 ; 2.845314
85.59179 ; 2.838927
85.6528 ; 2.839748
85.69349 ; 2.843298
85.89998 ; 2.878575
86.0197 ; 2.888864
86.2 ; 2.891737
89.4765 ; 2.891078
90.0 ; 2.88725
90.1827 ; 2.882754
90.30001 ; 2.875638
90.3492 ; 2.869738
90.41812 ; 2.855815
90.5614 ; 2.813753
90.63318 ; 2.80019
90.72301 ; 2.792118
90.8427 ; 2.78924
90.97231 ; 2.792384
91.0 ; 2.794189
91.10003 ; 2.806931
91.12421 ; 2.811972
91.3 ; 2.858677
91.3596 ; 2.868229
91.44239 ; 2.87557
91.6774 ; 2.883555
92.2733 ; 2.888557
92.60002 ; 2.887622
92.7 ; 2.88373
92.7886 ; 2.87387
92.8793 ; 2.855439
92.9814 ; 2.83344
93.0437 ; 2.826527
93.1004 ; 2.827112
93.1174 ; 2.828604
93.2 ; 2.842883
93.3 ; 2.866387
93.39998 ; 2.882634
93.47799 ; 2.888195
93.7 ; 2.891196
94.8 ; 2.890251
95.0 ; 2.887991
95.151 ; 2.881353
95.37399 ; 2.864389
95.5134 ; 2.861758
95.6155 ; 2.865039
95.8318 ; 2.883394
95.89998 ; 2.887737
96.10003 ; 2.891903
102.375 ; 2.892211
102.6 ; 2.889817
102.7 ; 2.883849
102.8 ; 2.867872
102.948 ; 2.833375
103.029 ; 2.821456
