Z daughter, A daughter, element daughter, Z parent, A parent, element parent, metastable, independent thermal FY jeff3.1.1, unc, independent fast FY jeff3.1.1, unc, independent 14MeV FY jeff3.1.1, unc,Extraction date
49,127,In,94,239,Pu,1,0.00016669,4.9624E-05,0.00010752,3.4001E-05, , ,2021-04-28
49,127,In,94,239,Pu,0,0.00072088,0.00021462,0.00053398,0.00016887, , ,2021-04-28
49,126,In,94,239,Pu,1,0.00028462,9.2373E-05,0.00012259,4.5164E-05, , ,2021-04-28
49,126,In,94,239,Pu,0,0.00031598,0.00010255,0.0001137,4.189E-05, , ,2021-04-28
49,125,In,94,239,Pu,1,6.1428E-05,1.8512E-05,6.3596E-05,1.8647E-05, , ,2021-04-28
49,125,In,94,239,Pu,0,0.00026566,8.0061E-05,0.00031585,9.2613E-05, , ,2021-04-28
49,124,In,94,239,Pu,1,0.00031938,6.1351E-05,0.00025758,5.781E-05, , ,2021-04-28
49,124,In,94,239,Pu,0,0.00035456,6.8109E-05,0.00023891,5.362E-05, , ,2021-04-28
49,123,In,94,239,Pu,1,0.00010451,2.0765E-05,7.5395E-05,1.4246E-05, , ,2021-04-28
49,123,In,94,239,Pu,0,0.00045197,8.9805E-05,0.00037445,7.0755E-05, , ,2021-04-28
49,122,In,94,239,Pu,5,0.00010618,2.0642E-05,9.9793E-05,2.2413E-05, , ,2021-04-28
49,122,In,94,239,Pu,1,0.00010618,2.0642E-05,9.9793E-05,2.2413E-05, , ,2021-04-28
49,122,In,94,239,Pu,0,0.00014966,2.9094E-05,0.00011934,2.6804E-05, , ,2021-04-28
49,121,In,94,239,Pu,1,3.1256E-05,9.6651E-06,2.8918E-05,8.6666E-06, , ,2021-04-28
49,121,In,94,239,Pu,0,0.00013517,4.18E-05,0.00014362,4.3043E-05, , ,2021-04-28
49,120,In,94,239,Pu,2,6.5457E-06,2.4286E-06,8.2112E-06,2.9929E-06, , ,2021-04-28
49,120,In,94,239,Pu,1,6.5457E-06,2.4286E-06,8.2112E-06,2.9929E-06, , ,2021-04-28
49,120,In,94,239,Pu,0,6.5457E-06,2.4286E-06,8.2112E-06,2.9929E-06, , ,2021-04-28
49,119,In,94,239,Pu,1,1.2378E-06,4.4912E-07,1.2106E-06,4.5051E-07, , ,2021-04-28
49,119,In,94,239,Pu,0,5.3534E-06,1.9424E-06,6.0128E-06,2.2375E-06, , ,2021-04-28
