 U-235(n,el) ENDFB-8.0
Energy(eV) XS(b)
2.85604 11.5743
2.86836 11.5667
2.87453 11.5626
2.88069 11.5583
2.89037 11.5511
2.90005 11.5434
2.90973 11.5353
2.91941 11.5267
2.92909 11.5177
2.93877 11.5083
2.94845 11.4986
2.95813 11.4884
2.96781 11.4779
2.97749 11.4671
2.98718 11.4561
2.99202 11.4504
2.99686 11.4448
3.00170 11.4391
3.00654 11.4334
3.01138 11.4277
3.01622 11.4221
3.02106 11.4165
3.02590 11.4110
3.03074 11.4057
3.03558 11.4005
3.04086 11.3952
3.04614 11.3902
3.05142 11.3857
3.05670 11.3818
3.06289 11.3782
3.06908 11.3758
3.07526 11.3749
3.08145 11.3759
3.08764 11.3790
3.09383 11.3844
3.10620 11.4035
3.11610 11.4272
3.12043 11.4399
3.12477 11.4540
3.12910 11.4693
3.13344 11.4857
3.13777 11.5030
3.14210 11.5210
3.14644 11.5395
3.15077 11.5582
3.15449 11.5742
3.15820 11.5900
3.16161 11.6041
3.16502 11.6178
3.16843 11.6309
3.17183 11.6434
3.17524 11.6551
3.17865 11.6659
3.18546 11.6847
3.19042 11.6958
3.19538 11.7047
3.20259 11.7137
3.20980 11.7181
3.21701 11.7185
3.22422 11.7152
3.23143 11.7089
3.23864 11.7001
3.24585 11.6894
3.25306 11.6772
3.25711 11.6699
3.26117 11.6622
3.26522 11.6544
3.26928 11.6464
3.27469 11.6355
3.28212 11.6202
3.28956 11.6048
3.29700 11.5894
3.30443 11.5739
3.31187 11.5585
3.31930 11.5432
3.32674 11.5280
3.33417 11.5128
3.33958 11.5018
3.34499 11.4908
3.35040 11.4798
3.35648 11.4674
3.36256 11.4550
3.36865 11.4425
3.37473 11.4300
3.38082 11.4174
3.38690 11.4046
3.39298 11.3917
3.39907 11.3787
3.40650 11.3624
3.41394 11.3459
3.42137 11.3289
3.42881 11.3115
3.43625 11.2936
3.44368 11.2752
3.44740 11.2658
3.45112 11.2562
3.45484 11.2465
